,cs,classw,TN,FN,FP,TP,roc_auc
140,,1:6,20435,1592,3870,1013,0.6148205328872008
141,,1:7,19148,1408,5157,1197,0.6236611978057167
142,,1:8,17881,1220,6424,1385,0.6336810550185759
143,,1:9,16730,1096,7575,1509,0.6338031833927523
144,,1:10,15600,984,8705,1621,0.632054058685586
145,,1:11,14521,860,9784,1745,0.633657363772373
146,,1:12,13463,743,10842,1862,0.6343491086760897
147,,1:13,12302,644,12003,1961,0.6294670535710407
148,,1:14,11335,572,12970,2033,0.6233936051798541
149,,1:15,10029,457,14276,2148,0.6185996420252698
150,,1:1,24302,2605,3,0,0.49993828430364123
151,,1:2,24178,2544,127,61,0.5090956222130704
152,,1:3,23684,2326,621,279,0.5407757145773422
153,,1:4,22870,2073,1435,532,0.5725906496179194
154,,1:5,21652,1813,2653,792,0.5974381076064299
155,,1:6,20493,1580,3812,1025,0.618316965972658
156,,1:7,19182,1413,5123,1192,0.623400949466177
157,,1:8,17914,1226,6391,1379,0.6332082962005954
158,,1:9,16711,1100,7594,1505,0.6326445629971954
159,,1:10,15595,989,8710,1616,0.6309915062933822
160,,1:11,14525,858,9780,1747,0.634123528526827
161,,1:12,13298,718,11007,1887,0.6357532098677199
162,,1:13,12300,644,12005,1961,0.6294259097734682
163,,1:14,11232,563,13073,2042,0.62300214682176
164,,1:15,10325,509,13980,2096,0.6147081179239676
165,,1:1,24305,2605,0,0,0.5
166,,1:2,24262,2583,43,22,0.5033380571045901
167,,1:3,23628,2320,677,285,0.5407753197232388
168,,1:4,22675,2044,1630,561,0.5741453481645798
169,,1:5,21749,1831,2556,774,0.5959786873549158
170,,1:6,20426,1592,3879,1013,0.6146353857981245
171,,1:7,19145,1392,5160,1213,0.6266704993838301
172,,1:8,17887,1221,6418,1384,0.6336125478316389
173,,1:9,16708,1103,7597,1502,0.632007031561873
174,,1:10,15564,992,8741,1613,0.6297779616920446
175,,1:11,14522,863,9783,1742,0.6331021199321957
176,,1:12,13246,712,11059,1893,0.6358351026087616
177,,1:13,12295,649,12010,1956,0.6283633573812644
178,,1:14,11289,561,13016,2044,0.6245586222118857
179,,1:15,10231,476,14074,2129,0.6191083325666583
180,,1:1,24305,2605,0,0,0.5
181,,1:2,24180,2546,125,59,0.5087528888513339
182,,1:3,23692,2309,613,296,0.544203245621759
183,,1:4,22752,2068,1553,537,0.5711228584594136
184,,1:5,21768,1814,2537,791,0.5996325092859813
185,,1:6,20422,1588,3883,1017,0.6153208525215974
186,,1:7,19186,1388,5119,1217,0.6282817015526848
187,,1:8,17846,1224,6459,1381,0.6321932842424388
188,,1:9,16682,1099,7623,1506,0.6322399165120484
189,,1:10,15586,985,8719,1620,0.6315741135229238
190,,1:11,14521,866,9784,1739,0.6325057322944458
191,,1:12,13196,700,11109,1905,0.6371097706253028
192,,1:13,12305,644,12000,1961,0.6295287692673995
193,,1:14,11361,580,12944,2025,0.6223929659110607
194,,1:15,10305,493,14000,2112,0.6173676972227147
