,n_estimates,max_d,min_samples_split,mins_samples_leaf,TN,FN,FP,TP,roc_auc
89,300,7,7,5,19849,1208,10528,2053,0.6414917405564259
90,300,8,2,1,20565,1285,9812,1976,0.6414707783856185
91,300,8,2,2,20355,1271,10022,1990,0.6401607966581908
92,300,8,2,3,20229,1258,10148,2003,0.6400801127428627
93,300,8,2,4,20252,1260,10125,2001,0.6401520342386093
94,300,8,2,5,20273,1241,10104,2020,0.6434109072963567
95,300,8,3,1,20505,1269,9872,1992,0.6429364242950116
96,300,8,3,2,20428,1287,9949,1974,0.6389091284292796
97,300,8,3,3,20389,1262,9988,1999,0.6421003753939669
98,300,8,3,4,20325,1255,10052,2006,0.64212023721485
99,300,8,3,5,20280,1264,10097,1997,0.639999600441743
100,300,8,4,1,20503,1287,9874,1974,0.6401436150474448
101,300,8,4,2,20458,1280,9919,1981,0.6404762134782629
102,300,8,4,3,20493,1264,9884,1997,0.6435055424373318
103,300,8,4,4,20249,1255,10128,2006,0.6408692907751095
104,300,8,4,5,20287,1269,10090,1992,0.6393481831915452
105,300,8,5,1,20558,1304,9819,1957,0.6384423428299286
106,300,8,5,2,20446,1278,9931,1983,0.6405853500198473
107,300,8,5,3,20368,1254,10009,2007,0.6429813367428433
108,300,8,5,4,20413,1267,9964,1994,0.641728775110553
109,300,8,5,5,20366,1254,10011,2007,0.6429484170996922
110,300,8,6,1,20531,1285,9846,1976,0.6409111444520503
111,300,8,6,2,20494,1281,9883,1980,0.6409154398547369
112,300,8,6,3,20502,1272,9875,1989,0.642427063229549
113,300,8,6,4,20252,1251,10125,2010,0.6415319790408174
114,300,8,6,5,20337,1254,10040,2007,0.6424710822740017
115,300,8,7,1,20531,1277,9846,1984,0.6421377620540129
116,300,8,7,2,20503,1293,9874,1968,0.6392236518459729
117,300,8,7,3,20431,1297,9946,1964,0.637425235891553
118,300,8,7,4,20418,1278,9959,1983,0.6401244750157323
119,300,8,7,5,20430,1265,9947,1996,0.6423152464778278
120,300,9,2,1,21313,1374,9064,1887,0.6401366041022842
121,300,9,2,2,21153,1343,9224,1918,0.6422561758578037
122,300,9,2,3,21080,1346,9297,1915,0.6405946272820539
123,300,9,2,4,21097,1338,9280,1923,0.6421010618508005
124,300,9,2,5,21206,1359,9171,1902,0.640675311197382
125,300,9,3,1,21118,1355,9259,1906,0.6398401556997162
126,300,9,3,2,21183,1359,9194,1902,0.6402967353011446
127,300,9,3,3,21047,1329,9330,1932,0.6426580155742316
128,300,9,3,4,20985,1323,9392,1938,0.6425574698380206
129,300,9,3,5,20969,1325,9408,1936,0.6419874582923213
130,300,9,4,1,21223,1356,9154,1905,0.6414151097649019
131,300,9,4,2,21099,1347,9278,1914,0.6407540366917436
132,300,9,4,3,21008,1331,9369,1930,0.6417094281322953
133,300,9,4,4,20958,1316,9419,1945,0.6431863450571984
134,300,9,4,5,20863,1311,9514,1950,0.6423892980087493
135,300,9,5,1,21081,1331,9296,1930,0.6429109951073092
136,300,9,5,2,21149,1351,9228,1910,0.640963718969539
137,300,9,5,3,21220,1349,9157,1912,0.6424390207018926
138,300,9,5,4,20978,1334,9399,1927,0.6407556518842932
