AGE,EDUCATION,HOUSEHOLD,CHILDREN,HEALTH_SATIS,SELF_SATIS,PERSONAL_SATIS,FRIEND_SATIS,LIVING_SATIS,OVERALL_SATIS,DEPRESSED,PAIN,SLEEP_HOURS,SLEEP_QUALITY,EXPERIENCE,MINUTES_WORK,MONTH_INCOME,MIGRANT,JOB_SATIS,U-INDEX,OCCUP
34,10,4,2,1,2,1,2,1,1,0,0,360,2,30,300,1500,1,2,0,1
35,7,5,2,3,2,2,2,2,2,1,1,300,2,36,,1000,0,3,0,1
32,10,3,1,2,2,2,2,2,2,0,1,360,2,12,360,650,1,2,0.42,1
31,10,5,3,2,1,2,2,4,2,0,0,300,2,60,360,1500,1,2,0,1
43,5,4,2,2,2,1,2,2,4,0,1,240,3,180,240,500,0,2,0,1
46,5,5,0,4,3,3,2,2,3,0,0,360,3,240,510,1500,1,2,0.44,1
40,9,6,3,2,1,1,1,2,1,0,0,330,3,192,480,500,0,2,0,1
35,7,4,2,2,2,2,2,2,2,0,0,240,5,30,180,500,0,2,0,1
34,10,4,2,1,2,1,4,4,2,1,1,360,3,42,480,1000,1,3,0.81,1
20,10,7,0,4,2,2,2,2,2,1,0,360,2,12,540,1500,1,2,0,1
50,8,4,3,2,2,1,2,2,1,0,1,240,1,54,210,500,0,2,0,1
25,10,3,1,2,2,2,2,2,1,0,0,180,3,12,240,1000,0,3,0.06,1
25,7,6,1,2,2,2,2,2,2,0,0,240,3,60,210,500,0,2,0,1
30,7,4,2,2,2,2,2,2,1,1,0,240,2,144,150,1500,0,1,0.14,1
18,8,5,0,2,2,2,1,2,2,0,0,240,2,12,240,500,1,2,0,1
